wasm_bytes=1835641 load_ms=1.148 initial_memory=1769472 stack=524288
RAR input=5999 index=-1 guest_memory=1179648 fuel=1438349
fixture=0 index=-1 bytes=284 ms=267.606 outer_memory=5832704
RAR input=5999 index=2 guest_memory=1441792 fuel=33542287
fixture=0 index=2 bytes=49348 ms=690.786 outer_memory=5832704
RAR input=4040 index=-1 guest_memory=1179648 fuel=1436293
fixture=1 index=-1 bytes=284 ms=143.430 outer_memory=5832704
RAR input=4040 index=2 guest_memory=1638400 fuel=28491894
fixture=1 index=2 bytes=49348 ms=639.230 outer_memory=5832704
RAR input=4815 index=-1 guest_memory=1179648 fuel=1501652
fixture=2 index=-1 bytes=284 ms=147.437 outer_memory=5832704
RAR input=4815 index=2 guest_memory=1441792 fuel=32216309
fixture=2 index=2 bytes=49348 ms=685.865 outer_memory=5832704
RAR input=127742 index=-1 guest_memory=1441792 fuel=1508709
fixture=3 index=-1 bytes=284 ms=151.422 outer_memory=5832704
RAR input=127742 index=2 guest_memory=1769472 fuel=343741980
fixture=3 index=2 bytes=49348 ms=4349.206 outer_memory=5832704
